@relation Animals

@attribute hasName {NoName,Name}
@attribute animalType {Cat,Dog}
@attribute intactness {NotIntact,Intact,Unknown}
@attribute age {Baby,Adult,Senior,Unknown}
@attribute breed {Abyssinian,Affenpinscher,'Afghan Hound','Airedale Terrier',Akita,'Alaskan Husky','Alaskan Malamute','American Bulldog','American Eskimo','American Foxhound','American Pit Bull Terrier','American Shorthair','American Staffordshire Terrier','Anatol Shepherd',Angora,'Australian Cattle Dog','Australian Kelpie','Australian Shepherd','Australian Terrier',Balinese,Basenji,'Basset Hound',Beagle,'Bearded Collie',Beauceron,'Bedlington Terr','Belgian Malinois','Belgian Sheepdog','Belgian Tervuren',Bengal,'Bernese Mountain Dog','Bichon Frise',Black,'Black Mouth Cur',Bloodhound,'Blue Lacy','Bluetick Hound',Boerboel,Bombay,'Border Collie','Border Terrier','Boston Terrier',Boxer,'Boykin Span','British Shorthair',Brittany,'Bruss Griffon','Bull Terrier','Bull Terrier Miniature',Bulldog,Bullmastiff,Burmese,'Cairn Terrier','Canaan Dog','Cane Corso','Cardigan Welsh Corgi','Carolina Dog',Catahoula,'Cavalier Span','Chesa Bay Retr','Chihuahua Longhair','Chihuahua Shorthair','Chinese Crested','Chinese Sharpei','Chow Chow','Cocker Spaniel','Collie Rough','Collie Smooth','Cornish Rex',Cymric,Dachshund,'Dachshund Longhair','Dachshund Wirehair',Dalmatian,'Devon Rex','Doberman Pinsch','Dogo Argentino','Dogue De Bordeaux','Domestic Longhair','Domestic Medium Hair','Domestic Shorthair','Dutch Shepherd','English Bulldog','English Cocker Spaniel','English Coonhound','English Foxhound','English Pointer','English Setter','English Shepherd','English Springer Spaniel',Entlebucher,'Exotic Shorthair',Feist,'Field Spaniel','Finnish Spitz','Flat Coat Retriever','French Bulldog','German Pinscher','German Shepherd','German Shorthair Pointer','German Wirehaired Pointer','Glen Of Imaal','Golden Retriever','Great Dane','Great Pyrenees','Greater Swiss Mountain Dog',Greyhound,Harrier,'Havana Brown',Havanese,Himalayan,Hovawart,'Ibizan Hound','Irish Setter','Irish Terrier','Irish Wolfhound','Italian Greyhound','Jack Russell Terrier','Japanese Bobtail','Japanese Chin',Javanese,Jindo,Keeshond,Kuvasz,'Labrador Retriever',Landseer,Leonberger,'Lhasa Apso',Lowchen,'Maine Coon',Maltese,'Manchester Terrier',Manx,Mastiff,'Mexican Hairless','Miniature Pinscher','Miniature Poodle','Miniature Schnauzer','Munchkin Longhair','Neapolitan Mastiff',Newfoundland,'Norfolk Terrier','Norwegian Elkhound','Norwegian Forest Cat','Norwich Terrier','Nova Scotia Duck Tolling Retriever',Ocicat,'Old English Bulldog','Old English Sheepdog',Otterhound,Papillon,'Parson Russell Terrier','Patterdale Terr',Pbgv,Pekingese,'Pembroke Welsh Corgi',Persian,'Pharaoh Hound','Picardy Sheepdog','Pit Bull','Pixiebob Shorthair','Plott Hound','Podengo Pequeno',Pointer,Pomeranian,'Port Water Dog','Presa Canario',Pug,'Queensland Heeler',Ragdoll,'Rat Terrier','Redbone Hound','Rhod Ridgeback',Rottweiler,'Russian Blue',Saluki,Samoyed,Schipperke,'Schnauzer Giant','Scottish Terrier','Sealyham Terr','Shetland Sheepdog','Shiba Inu','Shih Tzu',Siamese,'Siberian Husky','Silky Terrier','Skye Terrier','Smooth Fox Terrier',Snowshoe,'Soft Coated Wheaten Terrier','Spanish Mastiff',Sphynx,'Spinone Italiano','St. Bernard Rough Coat','St. Bernard Smooth Coat',Staffordshire,'Standard Poodle','Standard Schnauzer','Swedish Vallhund','Swiss Hound','Tibetan Spaniel','Tibetan Terrier',Tonkinese,'Toy Fox Terrier','Toy Poodle','Treeing Cur','Treeing Tennesse Brindle','Treeing Walker Coonhound','Turkish Van',Unknown,Vizsla,Weimaraner,'Welsh Springer Spaniel','Welsh Terrier','West Highland',Whippet,'Wire Hair Fox Terrier','Wirehaired Pointing Griffon','Yorkshire Terrier'}
@attribute ageInDays numeric
@attribute hour numeric
@attribute outcome {Adoption,Return_to_owner,Transfer,Euthanasia,Died}

@data
Name,Cat,NotIntact,Baby,'Domestic Medium Hair',62,12,Adoption
NoName,Cat,NotIntact,Adult,'Domestic Shorthair',1095,9,Transfer
Name,Dog,NotIntact,Adult,Pug,1095,14,Return_to_owner
Name,Cat,NotIntact,Baby,'Domestic Shorthair',31,17,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',6,17,Transfer
NoName,Cat,Unknown,Baby,'Domestic Shorthair',7,19,Transfer
Name,Dog,NotIntact,Adult,'Blue Lacy',365,17,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',14,12,Transfer
Name,Dog,NotIntact,Senior,'English Foxhound',2190,19,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',62,15,Transfer
Name,Dog,Intact,Adult,'Pit Bull',730,18,Return_to_owner
Name,Dog,NotIntact,Adult,'Pit Bull',365,15,Adoption
NoName,Cat,Intact,Adult,'Domestic Shorthair',365,15,Transfer
Name,Cat,NotIntact,Baby,Siamese,93,14,Adoption
NoName,Cat,Intact,Adult,'Domestic Shorthair',2190,9,Transfer
NoName,Cat,Intact,Adult,'Domestic Shorthair',1095,9,Transfer
Name,Cat,NotIntact,Baby,'Domestic Longhair',62,14,Adoption
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',1095,15,Adoption
NoName,Cat,NotIntact,Adult,'Domestic Shorthair',730,9,Transfer
Name,Dog,NotIntact,Adult,'Jack Russell Terrier',730,19,Adoption
Name,Dog,NotIntact,Adult,'Labrador Retriever',1095,15,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',21,18,Transfer
Name,Cat,Intact,Baby,'Domestic Medium Hair',62,16,Transfer
Name,Dog,NotIntact,Adult,Beagle,1095,16,Adoption
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,15,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',365,19,Adoption
Name,Dog,NotIntact,Adult,'Great Pyrenees',730,11,Return_to_owner
Name,Dog,NotIntact,Adult,'Labrador Retriever',365,13,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',365,12,Transfer
Name,Dog,NotIntact,Adult,'Labrador Retriever',365,15,Adoption
Name,Dog,NotIntact,Adult,'Miniature Poodle',1095,17,Adoption
Name,Dog,Intact,Adult,'Yorkshire Terrier',1095,15,Return_to_owner
Name,Cat,NotIntact,Baby,Siamese,31,18,Adoption
Name,Cat,NotIntact,Adult,'Russian Blue',1095,11,Adoption
Name,Dog,NotIntact,Adult,Beagle,1460,16,Adoption
Name,Dog,NotIntact,Adult,'Pit Bull',365,15,Adoption
Name,Dog,NotIntact,Senior,'Cocker Spaniel',2920,12,Return_to_owner
Name,Dog,NotIntact,Adult,'German Shepherd',1095,13,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',248,9,Transfer
Name,Dog,NotIntact,Baby,'Chihuahua Shorthair',248,12,Adoption
Name,Dog,NotIntact,Baby,'Australian Kelpie',310,17,Adoption
Name,Dog,Intact,Adult,Boxer,1825,13,Return_to_owner
Name,Dog,NotIntact,Senior,Pekingese,4745,11,Return_to_owner
NoName,Cat,NotIntact,Adult,'Domestic Medium Hair',730,17,Transfer
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,12,Adoption
Name,Cat,NotIntact,Baby,'Domestic Medium Hair',62,15,Adoption
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,17,Adoption
NoName,Cat,Unknown,Baby,'Domestic Shorthair',7,16,Transfer
NoName,Dog,Intact,Baby,'German Shepherd',28,17,Transfer
Name,Dog,NotIntact,Baby,'Labrador Retriever',31,17,Adoption
NoName,Cat,NotIntact,Adult,'Domestic Shorthair',2190,9,Transfer
Name,Cat,NotIntact,Baby,'Domestic Shorthair',124,11,Adoption
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,18,Adoption
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,19,Adoption
Name,Dog,NotIntact,Adult,'Australian Shepherd',730,17,Adoption
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,18,Adoption
NoName,Cat,NotIntact,Baby,'Domestic Shorthair',62,14,Adoption
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',730,11,Adoption
Name,Cat,NotIntact,Senior,'Domestic Shorthair',2920,13,Adoption
Name,Dog,NotIntact,Adult,'Siberian Husky',730,18,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',1460,13,Transfer
NoName,Cat,Unknown,Baby,'Domestic Shorthair',7,15,Transfer
Name,Dog,NotIntact,Senior,'Labrador Retriever',2920,13,Return_to_owner
Name,Dog,NotIntact,Adult,'Pharaoh Hound',730,0,Transfer
Name,Dog,NotIntact,Baby,'Chihuahua Shorthair',310,16,Adoption
Name,Cat,Intact,Baby,'Domestic Shorthair',31,15,Transfer
Name,Dog,NotIntact,Senior,Catahoula,2190,13,Adoption
Name,Dog,NotIntact,Senior,'Shetland Sheepdog',2920,14,Return_to_owner
Name,Dog,NotIntact,Adult,'Pit Bull',365,11,Adoption
Name,Dog,NotIntact,Adult,'Pit Bull',1825,13,Return_to_owner
Name,Cat,NotIntact,Adult,Snowshoe,2190,9,Transfer
Name,Dog,NotIntact,Senior,'Miniature Pinscher',2555,18,Adoption
NoName,Cat,Intact,Adult,'Domestic Shorthair',365,9,Transfer
Name,Cat,Intact,Baby,'Domestic Shorthair',31,15,Transfer
NoName,Cat,NotIntact,Adult,'Domestic Shorthair',1095,13,Transfer
NoName,Cat,Intact,Adult,'Domestic Shorthair',730,16,Transfer
Name,Dog,NotIntact,Baby,'Labrador Retriever',155,14,Adoption
Name,Dog,Intact,Adult,'Chihuahua Shorthair',730,14,Transfer
NoName,Dog,NotIntact,Baby,'Plott Hound',93,16,Adoption
Name,Dog,NotIntact,Baby,'Chihuahua Shorthair',124,17,Adoption
Name,Dog,NotIntact,Adult,'Labrador Retriever',1825,14,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',21,13,Transfer
Name,Cat,NotIntact,Adult,Siamese,1095,14,Adoption
Name,Dog,NotIntact,Adult,'Scottish Terrier',730,12,Adoption
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',730,16,Adoption
Name,Dog,NotIntact,Adult,'Chihuahua Longhair',365,14,Adoption
NoName,Dog,Unknown,Baby,'Labrador Retriever',6,9,Transfer
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,17,Adoption
Name,Dog,NotIntact,Adult,Boxer,1095,12,Adoption
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,14,Adoption
Name,Dog,NotIntact,Adult,'Pit Bull',365,16,Adoption
Name,Dog,NotIntact,Adult,'Pharaoh Hound',730,12,Adoption
Name,Dog,NotIntact,Baby,'Labrador Retriever',217,19,Adoption
Name,Dog,NotIntact,Baby,'Chihuahua Shorthair',62,14,Adoption
NoName,Cat,Intact,Adult,'Domestic Longhair',1825,9,Transfer
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',730,16,Adoption
Name,Dog,NotIntact,Adult,'Pit Bull',1460,18,Return_to_owner
Name,Dog,NotIntact,Adult,'Pit Bull',1825,12,Return_to_owner
Name,Dog,NotIntact,Adult,'Norwich Terrier',730,17,Adoption
Name,Cat,Intact,Baby,'Domestic Shorthair',62,14,Transfer
Name,Dog,NotIntact,Senior,'Chihuahua Shorthair',3650,15,Adoption
Name,Cat,NotIntact,Baby,'Domestic Longhair',310,19,Adoption
NoName,Dog,NotIntact,Adult,'Cocker Spaniel',1095,17,Transfer
NoName,Dog,Intact,Baby,'Collie Smooth',248,17,Transfer
NoName,Cat,Intact,Baby,'Domestic Shorthair',7,16,Transfer
Name,Cat,Intact,Baby,'Domestic Shorthair',62,18,Adoption
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',365,12,Adoption
Name,Dog,Intact,Adult,Dachshund,365,16,Transfer
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',1095,17,Adoption
Name,Dog,NotIntact,Adult,'Alaskan Malamute',1460,11,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',21,18,Transfer
Name,Dog,NotIntact,Adult,'Miniature Poodle',730,12,Adoption
Name,Dog,NotIntact,Baby,'Labrador Retriever',93,14,Adoption
Name,Dog,NotIntact,Baby,'Labrador Retriever',62,18,Adoption
Name,Dog,NotIntact,Adult,Dachshund,1825,19,Adoption
Name,Dog,NotIntact,Adult,'American Staffordshire Terrier',1095,13,Adoption
Name,Dog,Intact,Baby,'Australian Cattle Dog',155,15,Transfer
NoName,Dog,NotIntact,Adult,Dachshund,365,14,Adoption
Name,Dog,NotIntact,Baby,'Carolina Dog',62,15,Adoption
Name,Cat,NotIntact,Baby,'Domestic Shorthair',186,13,Adoption
Name,Dog,NotIntact,Adult,'German Shepherd',365,18,Adoption
Name,Dog,NotIntact,Adult,'Pit Bull',365,17,Adoption
Name,Dog,NotIntact,Adult,Catahoula,1460,12,Return_to_owner
Name,Dog,NotIntact,Adult,Akita,365,12,Adoption
NoName,Cat,Unknown,Baby,'Domestic Shorthair',5,18,Transfer
Name,Cat,NotIntact,Adult,'Domestic Shorthair',2190,14,Transfer
Name,Dog,NotIntact,Baby,'Labrador Retriever',279,18,Adoption
NoName,Dog,NotIntact,Adult,'Chihuahua Longhair',730,18,Adoption
Name,Dog,Intact,Adult,'Chihuahua Shorthair',730,19,Transfer
Name,Cat,NotIntact,Adult,'Domestic Shorthair',730,14,Transfer
Name,Dog,NotIntact,Adult,Rottweiler,365,17,Adoption
Name,Dog,Intact,Senior,'Chihuahua Shorthair',2920,19,Return_to_owner
Name,Dog,NotIntact,Adult,'Chesa Bay Retr',730,12,Adoption
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',730,18,Adoption
NoName,Cat,Intact,Baby,Siamese,124,9,Transfer
Name,Dog,NotIntact,Senior,'Shih Tzu',2920,12,Return_to_owner
Name,Dog,NotIntact,Adult,'Rat Terrier',1095,17,Adoption
NoName,Dog,NotIntact,Adult,'Australian Cattle Dog',365,17,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',14,13,Transfer
NoName,Dog,NotIntact,Adult,Dachshund,1460,18,Adoption
NoName,Cat,NotIntact,Baby,'Domestic Longhair',93,12,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',365,13,Transfer
Name,Dog,NotIntact,Adult,'Cairn Terrier',365,14,Adoption
Name,Dog,NotIntact,Senior,'Miniature Poodle',3285,13,Return_to_owner
Name,Dog,Intact,Adult,Rottweiler,730,11,Return_to_owner
NoName,Cat,Intact,Baby,'Domestic Shorthair',62,9,Transfer
Name,Cat,Intact,Baby,Siamese,31,11,Transfer
Name,Dog,NotIntact,Adult,Boxer,365,17,Adoption
Name,Dog,Intact,Senior,'Chihuahua Shorthair',6205,19,Return_to_owner
Name,Dog,NotIntact,Adult,'Cardigan Welsh Corgi',730,15,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',31,17,Transfer
NoName,Dog,Unknown,Baby,'Chihuahua Shorthair',6,18,Transfer
Name,Dog,NotIntact,Adult,'American Pit Bull Terrier',730,12,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',93,9,Transfer
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,18,Adoption
Name,Dog,NotIntact,Baby,'Carolina Dog',31,17,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',7,18,Transfer
Name,Dog,Intact,Adult,Boxer,1460,17,Return_to_owner
Name,Dog,NotIntact,Adult,'Golden Retriever',1825,18,Return_to_owner
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,12,Adoption
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',1095,12,Adoption
NoName,Dog,Intact,Baby,'St. Bernard Rough Coat',62,13,Transfer
Name,Dog,NotIntact,Adult,'Chihuahua Longhair',365,18,Adoption
NoName,Cat,NotIntact,Baby,Snowshoe,124,14,Adoption
NoName,Dog,NotIntact,Baby,'Labrador Retriever',62,18,Adoption
Name,Dog,NotIntact,Senior,'Chihuahua Shorthair',2190,12,Adoption
NoName,Cat,NotIntact,Baby,'Domestic Medium Hair',62,17,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',1095,16,Adoption
Name,Dog,NotIntact,Adult,'Labrador Retriever',730,15,Adoption
Name,Dog,NotIntact,Senior,Boxer,2555,16,Return_to_owner
Name,Cat,NotIntact,Adult,'Domestic Shorthair',365,15,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',365,12,Transfer
Name,Dog,NotIntact,Adult,'Labrador Retriever',1095,14,Adoption
Name,Cat,NotIntact,Baby,'Domestic Shorthair',31,15,Adoption
NoName,Dog,Intact,Baby,'Pit Bull',14,12,Transfer
Name,Dog,NotIntact,Adult,'American Bulldog',1460,17,Return_to_owner
NoName,Cat,Intact,Baby,'Domestic Shorthair',21,19,Transfer
Name,Dog,NotIntact,Adult,'Pit Bull',1825,16,Return_to_owner
NoName,Cat,Intact,Baby,'Domestic Shorthair',21,15,Transfer
Name,Dog,NotIntact,Adult,'Norfolk Terrier',730,12,Adoption
NoName,Dog,NotIntact,Adult,'Chihuahua Shorthair',1825,12,Transfer
Name,Cat,NotIntact,Adult,'Domestic Shorthair',365,14,Transfer
Name,Dog,NotIntact,Senior,'Smooth Fox Terrier',3285,11,Return_to_owner
NoName,Dog,NotIntact,Baby,Dachshund,31,17,Adoption
Name,Dog,NotIntact,Baby,'Miniature Pinscher',62,11,Adoption
Name,Dog,NotIntact,Adult,'Pit Bull',365,15,Adoption
Name,Dog,NotIntact,Baby,'Labrador Retriever',124,17,Adoption
Name,Dog,NotIntact,Adult,'Australian Cattle Dog',730,12,Adoption
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',1825,12,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',1460,9,Transfer
NoName,Dog,Intact,Baby,'Chihuahua Shorthair',93,15,Transfer
NoName,Cat,Intact,Adult,'Domestic Shorthair',365,14,Transfer
NoName,Cat,Unknown,Adult,'Domestic Shorthair',365,9,Transfer
Name,Cat,NotIntact,Baby,'Domestic Shorthair',124,17,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',124,18,Transfer
NoName,Cat,NotIntact,Adult,'Domestic Shorthair',1095,10,Transfer
