@relation Animals

@attribute hasName {NoName,Name}
@attribute animalType {Cat,Dog}
@attribute intactness {NotIntact,Intact,Unknown}
@attribute sex {Female,Male,Unknown}
@attribute age {Baby,Adult,Senior,Unknown}
@attribute breed {Abyssinian,Affenpinscher,'Afghan Hound','Airedale Terrier',Akita,'Alaskan Husky','Alaskan Malamute','American Bulldog','American Eskimo','American Foxhound','American Pit Bull Terrier','American Shorthair','American Staffordshire Terrier','Anatol Shepherd',Angora,'Australian Cattle Dog','Australian Kelpie','Australian Shepherd','Australian Terrier',Balinese,Basenji,'Basset Hound',Beagle,'Bearded Collie',Beauceron,'Bedlington Terr','Belgian Malinois','Belgian Sheepdog','Belgian Tervuren',Bengal,'Bernese Mountain Dog','Bichon Frise',Black,'Black Mouth Cur',Bloodhound,'Blue Lacy','Bluetick Hound',Boerboel,Bombay,'Border Collie','Border Terrier','Boston Terrier',Boxer,'Boykin Span','British Shorthair',Brittany,'Bruss Griffon','Bull Terrier','Bull Terrier Miniature',Bulldog,Bullmastiff,Burmese,'Cairn Terrier','Canaan Dog','Cane Corso','Cardigan Welsh Corgi','Carolina Dog',Catahoula,'Cavalier Span','Chesa Bay Retr','Chihuahua Longhair','Chihuahua Shorthair','Chinese Crested','Chinese Sharpei','Chow Chow','Cocker Spaniel','Collie Rough','Collie Smooth','Cornish Rex',Cymric,Dachshund,'Dachshund Longhair','Dachshund Wirehair',Dalmatian,'Devon Rex','Doberman Pinsch','Dogo Argentino','Dogue De Bordeaux','Domestic Longhair','Domestic Medium Hair','Domestic Shorthair','Dutch Shepherd','English Bulldog','English Cocker Spaniel','English Coonhound','English Foxhound','English Pointer','English Setter','English Shepherd','English Springer Spaniel',Entlebucher,'Exotic Shorthair',Feist,'Field Spaniel','Finnish Spitz','Flat Coat Retriever','French Bulldog','German Pinscher','German Shepherd','German Shorthair Pointer','German Wirehaired Pointer','Glen Of Imaal','Golden Retriever','Great Dane','Great Pyrenees','Greater Swiss Mountain Dog',Greyhound,Harrier,'Havana Brown',Havanese,Himalayan,Hovawart,'Ibizan Hound','Irish Setter','Irish Terrier','Irish Wolfhound','Italian Greyhound','Jack Russell Terrier','Japanese Bobtail','Japanese Chin',Javanese,Jindo,Keeshond,Kuvasz,'Labrador Retriever',Landseer,Leonberger,'Lhasa Apso',Lowchen,'Maine Coon',Maltese,'Manchester Terrier',Manx,Mastiff,'Mexican Hairless','Miniature Pinscher','Miniature Poodle','Miniature Schnauzer','Munchkin Longhair','Neapolitan Mastiff',Newfoundland,'Norfolk Terrier','Norwegian Elkhound','Norwegian Forest Cat','Norwich Terrier','Nova Scotia Duck Tolling Retriever',Ocicat,'Old English Bulldog','Old English Sheepdog',Otterhound,Papillon,'Parson Russell Terrier','Patterdale Terr',Pbgv,Pekingese,'Pembroke Welsh Corgi',Persian,'Pharaoh Hound','Picardy Sheepdog','Pit Bull','Pixiebob Shorthair','Plott Hound','Podengo Pequeno',Pointer,Pomeranian,'Port Water Dog','Presa Canario',Pug,'Queensland Heeler',Ragdoll,'Rat Terrier','Redbone Hound','Rhod Ridgeback',Rottweiler,'Russian Blue',Saluki,Samoyed,Schipperke,'Schnauzer Giant','Scottish Terrier','Sealyham Terr','Shetland Sheepdog','Shiba Inu','Shih Tzu',Siamese,'Siberian Husky','Silky Terrier','Skye Terrier','Smooth Fox Terrier',Snowshoe,'Soft Coated Wheaten Terrier','Spanish Mastiff',Sphynx,'Spinone Italiano','St. Bernard Rough Coat','St. Bernard Smooth Coat',Staffordshire,'Standard Poodle','Standard Schnauzer','Swedish Vallhund','Swiss Hound','Tibetan Spaniel','Tibetan Terrier',Tonkinese,'Toy Fox Terrier','Toy Poodle','Treeing Cur','Treeing Tennesse Brindle','Treeing Walker Coonhound','Turkish Van',Unknown,Vizsla,Weimaraner,'Welsh Springer Spaniel','Welsh Terrier','West Highland',Whippet,'Wire Hair Fox Terrier','Wirehaired Pointing Griffon','Yorkshire Terrier'}
@attribute color {Agouti,Apricot,Black,'Black Brindle','Black Smoke','Black Tabby','Black Tiger',Blue,'Blue Cream','Blue Merle','Blue Point','Blue Smoke','Blue Tabby','Blue Tick','Blue Tiger',Brown,'Brown Brindle','Brown Merle','Brown Tabby','Brown Tiger',Buff,Calico,'Calico Point',Chocolate,'Chocolate Point',Cream,'Cream Tabby',Fawn,'Flame Point',Gold,Gray,'Gray Tabby','Lilac Point',Liver,'Liver Tick','Lynx Point',Orange,'Orange Tabby','Orange Tiger',Pink,Red,'Red Merle','Red Tick',Ruddy,Sable,'Seal Point',Silver,'Silver Lynx Point','Silver Tabby',Tan,Torbie,Tortie,'Tortie Point',Tricolor,White,Yellow,'Yellow Brindle'}
@attribute ageInDays numeric
@attribute hour numeric
@attribute outcome {Adoption,Return_to_owner,Transfer,Euthanasia,Died}

@data
Name,Cat,NotIntact,Female,Baby,'Domestic Longhair','Brown Tabby',93,17,Adoption
NoName,Cat,Intact,Female,Adult,'Domestic Shorthair',Calico,365,17,Euthanasia
Name,Dog,NotIntact,Male,Baby,'Chow Chow',Black,62,16,Adoption
NoName,Cat,NotIntact,Female,Adult,'Domestic Shorthair',Black,730,19,Transfer
Name,Dog,NotIntact,Male,Adult,'Chihuahua Shorthair',White,365,12,Adoption
NoName,Cat,Unknown,Unknown,Baby,'Domestic Shorthair','Blue Tabby',14,12,Euthanasia
Name,Cat,Unknown,Unknown,Baby,Siamese,'Seal Point',28,18,Transfer
NoName,Cat,Intact,Male,Adult,'Domestic Shorthair','Blue Tabby',730,9,Transfer
Name,Dog,NotIntact,Male,Senior,'Pit Bull','Brown Brindle',4380,17,Euthanasia
NoName,Dog,NotIntact,Male,Adult,Dachshund,Brown,365,18,Adoption
Name,Cat,NotIntact,Male,Baby,'Domestic Shorthair',Black,62,15,Adoption
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair',Black,14,15,Transfer
NoName,Dog,Intact,Female,Baby,'Labrador Retriever',Black,93,18,Transfer
NoName,Cat,NotIntact,Female,Baby,'Domestic Medium Hair',Calico,93,15,Adoption
Name,Dog,NotIntact,Male,Baby,'Plott Hound','Brown Brindle',155,14,Adoption
Name,Dog,NotIntact,Female,Adult,Boxer,Black,1095,14,Adoption
Name,Dog,NotIntact,Female,Senior,'Lhasa Apso',White,2555,11,Transfer
Name,Dog,NotIntact,Female,Adult,'German Shepherd',Black,730,18,Euthanasia
Name,Cat,NotIntact,Female,Baby,'Domestic Shorthair',Black,124,15,Adoption
Name,Dog,NotIntact,Female,Senior,Beagle,White,3285,14,Adoption
Name,Dog,NotIntact,Male,Baby,'Border Collie',Black,217,15,Transfer
NoName,Cat,NotIntact,Male,Baby,'Domestic Shorthair',Black,62,19,Adoption
NoName,Cat,Intact,Male,Adult,'Domestic Shorthair',Black,1095,9,Transfer
NoName,Dog,NotIntact,Male,Adult,'Border Terrier',Gray,1095,16,Adoption
Name,Dog,NotIntact,Male,Adult,'Chihuahua Shorthair',Tan,1825,17,Adoption
Name,Dog,NotIntact,Male,Adult,Boxer,'Brown Brindle',1825,12,Transfer
NoName,Cat,Intact,Female,Baby,'Domestic Medium Hair',Blue,14,11,Transfer
NoName,Cat,Unknown,Unknown,Baby,'Domestic Shorthair',Black,14,14,Transfer
Name,Cat,NotIntact,Female,Adult,'Domestic Shorthair',Torbie,1460,14,Transfer
Name,Dog,NotIntact,Male,Adult,'Cairn Terrier',Tan,1460,18,Return_to_owner
Name,Cat,NotIntact,Male,Baby,'Domestic Shorthair','Brown Tabby',62,18,Adoption
Name,Dog,NotIntact,Female,Adult,'Chihuahua Shorthair',Black,730,12,Return_to_owner
Name,Dog,NotIntact,Male,Adult,'Dogo Argentino',White,730,18,Adoption
Name,Dog,NotIntact,Male,Senior,Dachshund,Black,3285,11,Return_to_owner
Name,Dog,NotIntact,Male,Adult,Beagle,Tricolor,1825,18,Return_to_owner
Name,Dog,NotIntact,Male,Adult,'Chihuahua Shorthair','Yellow Brindle',365,16,Euthanasia
Name,Dog,NotIntact,Female,Adult,'Pit Bull',Fawn,730,16,Adoption
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair','Brown Tabby',21,15,Transfer
Name,Dog,Intact,Male,Baby,'Pit Bull',White,155,15,Transfer
NoName,Cat,Intact,Male,Adult,'Domestic Shorthair','Orange Tabby',2190,16,Euthanasia
Name,Dog,NotIntact,Female,Adult,'Chihuahua Shorthair',Tan,365,15,Adoption
Name,Dog,Intact,Male,Baby,'Chihuahua Shorthair',Black,93,0,Transfer
Name,Cat,Intact,Female,Baby,'Domestic Longhair',Calico,31,18,Transfer
Name,Dog,NotIntact,Female,Adult,'Chihuahua Shorthair',Brown,1095,16,Return_to_owner
Name,Dog,NotIntact,Male,Adult,Dachshund,Black,1825,17,Return_to_owner
Name,Dog,NotIntact,Male,Senior,'Miniature Schnauzer',Black,2920,11,Adoption
NoName,Dog,NotIntact,Female,Baby,'Labrador Retriever',Black,62,14,Adoption
NoName,Cat,Intact,Female,Adult,'Domestic Shorthair',Tortie,2555,11,Euthanasia
Name,Cat,Intact,Female,Baby,'Domestic Shorthair',Black,62,18,Adoption
Name,Dog,NotIntact,Male,Adult,'Pit Bull',Black,1825,17,Adoption
Name,Dog,NotIntact,Male,Adult,'Pit Bull',White,365,17,Adoption
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair','Brown Tabby',93,9,Transfer
Name,Dog,NotIntact,Male,Adult,'Chihuahua Shorthair',Brown,730,18,Return_to_owner
Name,Dog,NotIntact,Female,Senior,'Labrador Retriever',Chocolate,3285,11,Return_to_owner
Name,Dog,NotIntact,Female,Adult,'Pit Bull',Red,1095,17,Adoption
Name,Cat,NotIntact,Female,Adult,'Domestic Shorthair',Calico,1095,18,Return_to_owner
Name,Dog,NotIntact,Female,Adult,'Chihuahua Shorthair',Black,365,14,Adoption
Name,Dog,NotIntact,Female,Adult,'Chihuahua Shorthair',Black,730,15,Transfer
Name,Dog,NotIntact,Female,Adult,'Pit Bull','Brown Brindle',365,17,Return_to_owner
Name,Cat,NotIntact,Male,Adult,Siamese,'Flame Point',730,16,Transfer
Name,Dog,NotIntact,Female,Adult,'Tibetan Terrier',Brown,730,15,Return_to_owner
NoName,Cat,Intact,Female,Adult,'Domestic Shorthair',Blue,730,9,Transfer
NoName,Cat,Unknown,Unknown,Baby,'Domestic Shorthair',Tortie,93,9,Transfer
Name,Dog,NotIntact,Female,Baby,'Miniature Pinscher',Tricolor,31,18,Adoption
NoName,Cat,NotIntact,Male,Baby,'Domestic Shorthair','Orange Tabby',62,13,Adoption
NoName,Cat,NotIntact,Male,Baby,'Domestic Medium Hair','Cream Tabby',310,19,Adoption
Name,Cat,NotIntact,Female,Adult,'Domestic Medium Hair','Brown Tabby',730,16,Transfer
Name,Cat,NotIntact,Female,Baby,'Domestic Medium Hair',Calico,62,15,Adoption
Name,Dog,NotIntact,Male,Baby,'Labrador Retriever',Yellow,186,19,Adoption
Name,Cat,NotIntact,Female,Baby,'Domestic Shorthair','Brown Tabby',62,19,Adoption
NoName,Dog,NotIntact,Female,Adult,Dachshund,Tan,365,18,Adoption
Name,Dog,Intact,Female,Baby,Dachshund,Brown,186,14,Transfer
Name,Cat,NotIntact,Female,Adult,'Domestic Shorthair',Black,365,17,Adoption
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair',Calico,21,18,Transfer
Name,Cat,NotIntact,Male,Adult,'Domestic Shorthair','Brown Tabby',730,14,Adoption
Name,Dog,NotIntact,Female,Baby,'Blue Lacy',Blue,341,13,Adoption
NoName,Dog,NotIntact,Male,Baby,'Rat Terrier',Tricolor,93,16,Transfer
Name,Dog,NotIntact,Female,Adult,'Dachshund Longhair',Brown,730,12,Return_to_owner
Name,Dog,NotIntact,Male,Adult,'Pit Bull',Red,730,12,Transfer
Name,Dog,NotIntact,Male,Adult,'Pit Bull',Brown,730,11,Adoption
Name,Cat,NotIntact,Female,Baby,'Domestic Longhair',Calico,124,18,Adoption
NoName,Dog,Intact,Female,Baby,Dachshund,Red,124,15,Transfer
NoName,Cat,Intact,Female,Baby,'Domestic Shorthair',Torbie,155,9,Transfer
Name,Cat,NotIntact,Male,Baby,'Domestic Shorthair','Black Tabby',62,11,Adoption
Name,Dog,NotIntact,Male,Senior,'Chihuahua Shorthair',Brown,2555,15,Transfer
Name,Cat,NotIntact,Male,Adult,'Domestic Shorthair',Black,1460,16,Adoption
NoName,Cat,Intact,Female,Baby,'Domestic Shorthair',Tortie,21,11,Transfer
Name,Dog,NotIntact,Male,Baby,'Border Collie',Black,186,17,Adoption
Name,Dog,Intact,Female,Baby,'Labrador Retriever',Black,155,17,Adoption
Name,Dog,NotIntact,Female,Senior,Maltese,White,2920,11,Return_to_owner
NoName,Cat,NotIntact,Male,Baby,'Domestic Shorthair',Black,62,17,Adoption
Name,Cat,NotIntact,Female,Baby,'Domestic Shorthair','Blue Tabby',31,18,Adoption
NoName,Dog,NotIntact,Female,Baby,'Labrador Retriever',White,155,18,Return_to_owner
Name,Cat,Intact,Male,Baby,'Domestic Shorthair','Brown Tabby',31,13,Transfer
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair','Blue Tabby',124,9,Transfer
Name,Dog,NotIntact,Female,Adult,'Chihuahua Shorthair',White,365,11,Adoption
Name,Dog,NotIntact,Male,Adult,'Labrador Retriever',Black,730,16,Adoption
Name,Cat,NotIntact,Female,Senior,'Domestic Shorthair',Tortie,4015,15,Transfer
NoName,Dog,NotIntact,Male,Baby,Dachshund,Tricolor,62,9,Adoption
Name,Cat,NotIntact,Male,Baby,'Domestic Shorthair',White,62,0,Transfer
Name,Cat,Intact,Female,Baby,'Domestic Shorthair','Brown Tabby',62,18,Adoption
Name,Dog,NotIntact,Female,Baby,'Plott Hound',Black,31,14,Adoption
Name,Dog,NotIntact,Female,Senior,'Chihuahua Shorthair',White,2555,11,Return_to_owner
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair','Cream Tabby',4,13,Transfer
Name,Dog,NotIntact,Male,Adult,'Siberian Husky',White,1460,13,Return_to_owner
Name,Dog,NotIntact,Female,Adult,'Australian Cattle Dog',Tan,730,0,Transfer
Name,Dog,NotIntact,Female,Adult,Pointer,White,365,13,Return_to_owner
Name,Dog,NotIntact,Male,Adult,'Pit Bull','Brown Brindle',730,17,Return_to_owner
NoName,Cat,Intact,Female,Baby,'Domestic Medium Hair','Brown Tabby',28,18,Transfer
Name,Cat,Intact,Female,Adult,'Domestic Shorthair',Black,365,11,Transfer
Name,Dog,NotIntact,Female,Adult,'Yorkshire Terrier',Tan,730,17,Adoption
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair','Orange Tabby',310,12,Transfer
Name,Dog,NotIntact,Female,Adult,'German Shepherd',White,1460,12,Transfer
Name,Cat,NotIntact,Female,Baby,'Domestic Shorthair','Brown Tabby',124,17,Adoption
Name,Dog,NotIntact,Female,Senior,Catahoula,White,2190,11,Transfer
NoName,Dog,NotIntact,Female,Baby,'Miniature Poodle',Black,279,17,Adoption
Name,Dog,NotIntact,Female,Adult,'Jack Russell Terrier',Red,1095,14,Adoption
Name,Cat,NotIntact,Female,Baby,'Domestic Shorthair',Torbie,248,12,Adoption
Name,Dog,NotIntact,Female,Baby,'Queensland Heeler','Red Tick',310,16,Adoption
NoName,Cat,NotIntact,Male,Adult,'Domestic Shorthair',White,365,0,Transfer
Name,Dog,NotIntact,Male,Adult,Catahoula,'Blue Merle',365,16,Adoption
Name,Dog,NotIntact,Male,Adult,'Labrador Retriever',Black,365,18,Adoption
Name,Dog,NotIntact,Male,Baby,'Labrador Retriever',Yellow,93,15,Adoption
Name,Dog,Intact,Male,Senior,'Chihuahua Shorthair',Chocolate,2190,18,Return_to_owner
NoName,Cat,Unknown,Unknown,Adult,'Domestic Longhair',Black,365,15,Transfer
Name,Dog,NotIntact,Male,Adult,'American Pit Bull Terrier',Tan,730,10,Return_to_owner
NoName,Dog,NotIntact,Female,Adult,'Dachshund Longhair',Tan,1825,18,Adoption
NoName,Cat,NotIntact,Male,Senior,'Domestic Longhair','Orange Tabby',4380,17,Euthanasia
Name,Dog,NotIntact,Female,Adult,'German Shepherd',Sable,730,12,Adoption
Name,Dog,NotIntact,Male,Senior,'Labrador Retriever',Black,2190,18,Adoption
